name,downloads
flake8-import-order,2717
robotframework,2716
django-model-utils,2714
cookiecutter,2711
pyqt5,2711
suds,2710
glob2,2709
jinja2-time,2709
pypiwin32,2688
openapi-codec,2686
jmt,2680
ldap3,2677
behave,2677
virtualenvwrapper,2674
shutit,2660
hacking,2654
rq,2640
google-cloud-firestore,2631
falcon,2619
pydocstyle,2617
s3fs,2612
missinglink-kernel,2611
scrapy-splash,2606
outpak,2601
hgtools,2600
binaryornot,2594
blessings,2588
whichcraft,2585
translationstring,2585
pypdf2,2577
azure-mgmt-redis,2561
oslo-middleware,2557
carbon,2551
aws-xray-sdk,2546
pip-tools,2537
astropy,2523
yapf,2523
fastparquet,2511
phonenumberslite,2510
fake-factory,2498
pyathenajdbc,2492
ddt,2491
google-compute-engine,2490
c2c-template,2486
poyo,2482
tweepy,2478
txaws,2471
appier,2469
testfixtures,2465
brotlipy,2457
yamllint,2456
validate-email,2452
pydot,2450
retry,2449
importlib,2443
efb-wechat-slave,2443
oslo-service,2441
elasticsearch-curator,2440
pkginfo,2440
ipaddr,2438
mali,2434
flask-admin,2431
multiprocess,2422
azure-mgmt-batch,2421
bandit,2421
django-crispy-forms,2420
conx,2419
gcloud-aio-taskqueue,2409
schematics,2409
psycopg2-binary,2408
pkgconfig,2407
salt,2406
logilab-common,2405
google-cloud-trace,2405
codeintel,2388
troposphere,2387
timemory,2386
jsonpath-rw,2383
jsonfield,2368
pyvirtualdisplay,2365
azure-batch,2365
oslo-policy,2357
accesscontrol,2345
python-http-client,2341
exodus-bundler,2341
smmap,2332
mpmath,2318
testscenarios,2318
toml,2312
gitdb,2310
python-openid,2308
secretstorage,2302
azure-datalake-store,2299
pycadf,2289
insta-browser,2288
toil-vg,2287
azure-mgmt-keyvault,2286
dulwich,2280
spacy,2279
lmdb,2278
mujoco-py,2278
django-braces,2273
lulu,2263
keystonemiddleware,2254
httpagentparser,2254
pyproj,2254
tld,2251
pytsite,2251
junit-xml,2244
peewee,2241
djangorestframework-jwt,2239
cfn-flip,2236
azure-keyvault,2233
sunpy,2228
commonmark,2223
flake8-polyfill,2222
django-compressor,2221
strict-rfc3339,2217
pefile,2216
geocoder,2213
clickclick,2212
azure-mgmt-web,2209
azure-mgmt-sql,2205
conan-package-tools,2203
azure-mgmt-datalake-store,2201
progressbar2,2200
os-testr,2200
pypng,2198
psd-tools2,2197
python-ldap,2197
snapit,2190
oslo-cache,2182
connexion,2181
html2text,2179
backports-tempfile,2178
msgpack-numpy,2175
whoosh,2167
azure-mgmt-cdn,2165
python3-openid,2165
hvac,2154
sympy,2153
python-crfsuite,2153
requests-aws4auth,2151
idna-ssl,2151
azure-mgmt-dns,2149
nurbs-python,2142
oauth2,2140
azure-graphrbac,2132
azure-mgmt-authorization,2129
ll-xist,2127
terminaltables,2124
pyarrow,2121
azure-mgmt-containerregistry,2118
graphite-web,2108
backoff,2103
chem-gm,2097
openstackdocstheme,2096
invoke,2091
azure-mgmt-iothub,2086
azure-mgmt-datalake-analytics,2085
ijson,2081
google-cloud-bigquery-datatransfer,2071
guillotina,2069
attrdict,2066
qrcode,2066
kwikapi,2060
pyinstaller,2059
bitarray,2057
swagger-spec-validator,2048
onegov-applications,2046
google-cloud-container,2046
azure-mgmt-cognitiveservices,2045
pysnmp,2041
pager,2039
simple-salesforce,2036
qordoba,2035
azure-mgmt-devtestlabs,2035
flarecast-service,2034
resolwe-bio,2030
azure-mgmt-rdbms,2017
cloudpickle,2014
python-utils,2010
nosexcover,2009
webcolors,2009
pyreadline,1997
gapic-google-cloud-pubsub-v1,1989
azure-mgmt-datalake-nspkg,1983
pg8000,1983
shade,1980
tablib,1976
pygame,1974
flask-testing,1974
wand,1972
retry-decorator,1969
django-countries,1957
codeforlife-portal,1956
reno,1948
neatbook,1948
yandex-parser,1946
premailer,1946
libsass,1944
django-allauth,1943
gcs-oauth2-boto-plugin,1928
logutils,1926
flask-mail,1918
filetags,1916
sqlobject,1913
httpbin,1913
geojson,1908
capstone,1907
pyramid,1901
plumbum,1898
proto-google-cloud-pubsub-v1,1895
wincertstore,1888
gdata,1882
uuid,1873
pyvmomi,1872
pulp-smash,1868
redis-py-cluster,1866
autobahn,1865
ftfy,1865
jitbit-helpdesk,1863
deepdiff,1854
netius,1846
python-heatclient,1845
python-ironicclient,1843
python-nvd3,1843
django-mptt,1839
zeep,1838
pep8-naming,1837
s2m,1835
websockets,1822
cairocffi,1818
gym,1815
pecan,1814
odfpy,1810
bookscrape,1806
django-celery,1805
osprofiler,1805
oslo-reports,1796
oslo-versionedobjects,1796
thinc,1795
